timestamp,cmdb_id,parent_id,span_id,trace_id,duration
1615017000000,apache01,,2021_03_06-A-1615017000,trace-2021_03_06-1615017000,26
1615017000005,MG02,2021_03_06-A-1615017000,2021_03_06-B-1615017000,trace-2021_03_06-1615017000,31
1615017000010,MG02,2021_03_06-B-1615017000,2021_03_06-C-1615017000,trace-2021_03_06-1615017000,47
1615017060000,apache01,,2021_03_06-A-1615017060,trace-2021_03_06-1615017060,20
1615017060005,MG02,2021_03_06-A-1615017060,2021_03_06-B-1615017060,trace-2021_03_06-1615017060,32
1615017060010,MG02,2021_03_06-B-1615017060,2021_03_06-C-1615017060,trace-2021_03_06-1615017060,54
1615017120000,apache01,,2021_03_06-A-1615017120,trace-2021_03_06-1615017120,26
1615017120005,MG02,2021_03_06-A-1615017120,2021_03_06-B-1615017120,trace-2021_03_06-1615017120,33
1615017120010,MG02,2021_03_06-B-1615017120,2021_03_06-C-1615017120,trace-2021_03_06-1615017120,51
1615017180000,apache01,,2021_03_06-A-1615017180,trace-2021_03_06-1615017180,27
1615017180005,MG02,2021_03_06-A-1615017180,2021_03_06-B-1615017180,trace-2021_03_06-1615017180,34
1615017180010,MG02,2021_03_06-B-1615017180,2021_03_06-C-1615017180,trace-2021_03_06-1615017180,52
1615017240000,apache01,,2021_03_06-A-1615017240,trace-2021_03_06-1615017240,20
1615017240005,MG02,2021_03_06-A-1615017240,2021_03_06-B-1615017240,trace-2021_03_06-1615017240,36
1615017240010,MG02,2021_03_06-B-1615017240,2021_03_06-C-1615017240,trace-2021_03_06-1615017240,51
1615017300000,apache01,,2021_03_06-A-1615017300,trace-2021_03_06-1615017300,22
1615017300005,MG02,2021_03_06-A-1615017300,2021_03_06-B-1615017300,trace-2021_03_06-1615017300,32
1615017300010,MG02,2021_03_06-B-1615017300,2021_03_06-C-1615017300,trace-2021_03_06-1615017300,45
1615017360000,apache01,,2021_03_06-A-1615017360,trace-2021_03_06-1615017360,23
1615017360005,MG02,2021_03_06-A-1615017360,2021_03_06-B-1615017360,trace-2021_03_06-1615017360,39
1615017360010,MG02,2021_03_06-B-1615017360,2021_03_06-C-1615017360,trace-2021_03_06-1615017360,52
1615017420000,apache01,,2021_03_06-A-1615017420,trace-2021_03_06-1615017420,20
1615017420005,MG02,2021_03_06-A-1615017420,2021_03_06-B-1615017420,trace-2021_03_06-1615017420,37
1615017420010,MG02,2021_03_06-B-1615017420,2021_03_06-C-1615017420,trace-2021_03_06-1615017420,60
1615017480000,apache01,,2021_03_06-A-1615017480,trace-2021_03_06-1615017480,23
1615017480005,MG02,2021_03_06-A-1615017480,2021_03_06-B-1615017480,trace-2021_03_06-1615017480,30
1615017480010,MG02,2021_03_06-B-1615017480,2021_03_06-C-1615017480,trace-2021_03_06-1615017480,51
1615017540000,apache01,,2021_03_06-A-1615017540,trace-2021_03_06-1615017540,26
1615017540005,MG02,2021_03_06-A-1615017540,2021_03_06-B-1615017540,trace-2021_03_06-1615017540,35
1615017540010,MG02,2021_03_06-B-1615017540,2021_03_06-C-1615017540,trace-2021_03_06-1615017540,53
1615017600000,apache01,,2021_03_06-A-1615017600,trace-2021_03_06-1615017600,24
1615017600005,MG02,2021_03_06-A-1615017600,2021_03_06-B-1615017600,trace-2021_03_06-1615017600,30
1615017600010,MG02,2021_03_06-B-1615017600,2021_03_06-C-1615017600,trace-2021_03_06-1615017600,53
1615017660000,apache01,,2021_03_06-A-1615017660,trace-2021_03_06-1615017660,20
1615017660005,MG02,2021_03_06-A-1615017660,2021_03_06-B-1615017660,trace-2021_03_06-1615017660,34
1615017660010,MG02,2021_03_06-B-1615017660,2021_03_06-C-1615017660,trace-2021_03_06-1615017660,53
1615017720000,apache01,,2021_03_06-A-1615017720,trace-2021_03_06-1615017720,21
1615017720005,MG02,2021_03_06-A-1615017720,2021_03_06-B-1615017720,trace-2021_03_06-1615017720,32
1615017720010,MG02,2021_03_06-B-1615017720,2021_03_06-C-1615017720,trace-2021_03_06-1615017720,45
1615017780000,apache01,,2021_03_06-A-1615017780,trace-2021_03_06-1615017780,20
1615017780005,MG02,2021_03_06-A-1615017780,2021_03_06-B-1615017780,trace-2021_03_06-1615017780,39
1615017780010,MG02,2021_03_06-B-1615017780,2021_03_06-C-1615017780,trace-2021_03_06-1615017780,51
1615017840000,apache01,,2021_03_06-A-1615017840,trace-2021_03_06-1615017840,26
1615017840005,MG02,2021_03_06-A-1615017840,2021_03_06-B-1615017840,trace-2021_03_06-1615017840,37
1615017840010,MG02,2021_03_06-B-1615017840,2021_03_06-C-1615017840,trace-2021_03_06-1615017840,46
1615017900000,apache01,,2021_03_06-A-1615017900,trace-2021_03_06-1615017900,20
1615017900005,MG02,2021_03_06-A-1615017900,2021_03_06-B-1615017900,trace-2021_03_06-1615017900,39
