timestamp,rr,sr,cnt,mrt,tc
1615109700,100.03,97.29,19,66.42,ServiceTest1
1615109760,99.1,97.5,18,52.71,ServiceTest1
1615109820,98.37,98.34,15,54.94,ServiceTest1
1615109880,100.55,97.96,17,68.43,ServiceTest1
1615109940,100.64,97.62,18,55.76,ServiceTest1
1615110000,99.64,97.39,19,64.62,ServiceTest1
1615110060,100.36,98.09,17,55.0,ServiceTest1
1615110120,101.68,98.64,16,51.34,ServiceTest1
1615110180,100.25,97.38,20,63.44,ServiceTest1
1615110240,99.51,98.97,15,67.55,ServiceTest1
1615110300,100.68,97.41,18,61.96,ServiceTest1
1615110360,100.78,98.12,16,68.99,ServiceTest1
1615110420,99.22,98.05,19,64.48,ServiceTest1
1615110480,100.51,97.85,20,53.75,ServiceTest1
1615110540,101.56,97.4,18,68.82,ServiceTest1
1615110600,100.18,97.05,17,51.58,ServiceTest1
1615110660,101.98,98.48,16,52.93,ServiceTest1
1615110720,98.53,98.75,17,55.32,ServiceTest1
1615110780,99.21,98.46,16,61.1,ServiceTest1
1615110840,101.03,98.15,15,58.52,ServiceTest1
1615110900,99.3,97.12,20,66.73,ServiceTest1
1615110960,99.89,98.78,20,62.33,ServiceTest1
1615111020,99.64,98.25,18,56.85,ServiceTest1
1615111080,99.58,98.52,17,59.5,ServiceTest1
1615111140,100.17,97.0,19,58.66,ServiceTest1
1615111200,100.34,97.86,16,69.63,ServiceTest1
1615111260,98.17,98.22,17,53.73,ServiceTest1
1615111320,99.27,97.29,18,65.64,ServiceTest1
1615111380,99.32,98.87,20,68.42,ServiceTest1
1615111440,99.37,97.31,19,59.21,ServiceTest1
1615111500,101.24,98.06,18,60.79,ServiceTest1
1615111560,100.99,97.8,17,55.56,ServiceTest1
1615111620,99.35,98.43,19,57.46,ServiceTest1
1615111680,98.3,97.25,17,52.52,ServiceTest1
1615111740,98.16,97.93,18,53.72,ServiceTest1
1615111800,101.86,98.18,19,51.26,ServiceTest1
1615111860,98.07,97.83,20,55.09,ServiceTest1
1615111920,101.93,98.46,19,66.86,ServiceTest1
1615111980,101.45,98.76,16,50.1,ServiceTest1
1615112040,99.3,98.59,16,52.03,ServiceTest1
1615112100,99.31,97.45,18,64.77,ServiceTest1
1615112160,99.73,97.05,18,62.65,ServiceTest1
