timestamp,cmdb_id,parent_id,span_id,trace_id,duration
1614915720000,apache01,,2021_03_05-A-1614915720,trace-2021_03_05-1614915720,26
1614915720005,Tomcat02,2021_03_05-A-1614915720,2021_03_05-B-1614915720,trace-2021_03_05-1614915720,32
1614915720010,Tomcat01,2021_03_05-B-1614915720,2021_03_05-C-1614915720,trace-2021_03_05-1614915720,47
1614915780000,apache01,,2021_03_05-A-1614915780,trace-2021_03_05-1614915780,27
1614915780005,Tomcat02,2021_03_05-A-1614915780,2021_03_05-B-1614915780,trace-2021_03_05-1614915780,37
1614915780010,Tomcat01,2021_03_05-B-1614915780,2021_03_05-C-1614915780,trace-2021_03_05-1614915780,49
1614915840000,apache01,,2021_03_05-A-1614915840,trace-2021_03_05-1614915840,25
1614915840005,Tomcat02,2021_03_05-A-1614915840,2021_03_05-B-1614915840,trace-2021_03_05-1614915840,39
1614915840010,Tomcat01,2021_03_05-B-1614915840,2021_03_05-C-1614915840,trace-2021_03_05-1614915840,58
1614915900000,apache01,,2021_03_05-A-1614915900,trace-2021_03_05-1614915900,27
1614915900005,Tomcat02,2021_03_05-A-1614915900,2021_03_05-B-1614915900,trace-2021_03_05-1614915900,39
1614915900010,Tomcat01,2021_03_05-B-1614915900,2021_03_05-C-1614915900,trace-2021_03_05-1614915900,47
1614915960000,apache01,,2021_03_05-A-1614915960,trace-2021_03_05-1614915960,20
1614915960005,Tomcat02,2021_03_05-A-1614915960,2021_03_05-B-1614915960,trace-2021_03_05-1614915960,36
1614915960010,Tomcat01,2021_03_05-B-1614915960,2021_03_05-C-1614915960,trace-2021_03_05-1614915960,45
1614916020000,apache01,,2021_03_05-A-1614916020,trace-2021_03_05-1614916020,20
1614916020005,Tomcat02,2021_03_05-A-1614916020,2021_03_05-B-1614916020,trace-2021_03_05-1614916020,33
1614916020010,Tomcat01,2021_03_05-B-1614916020,2021_03_05-C-1614916020,trace-2021_03_05-1614916020,49
1614916080000,apache01,,2021_03_05-A-1614916080,trace-2021_03_05-1614916080,26
1614916080005,Tomcat02,2021_03_05-A-1614916080,2021_03_05-B-1614916080,trace-2021_03_05-1614916080,38
1614916080010,Tomcat01,2021_03_05-B-1614916080,2021_03_05-C-1614916080,trace-2021_03_05-1614916080,58
1614916140000,apache01,,2021_03_05-A-1614916140,trace-2021_03_05-1614916140,23
1614916140005,Tomcat02,2021_03_05-A-1614916140,2021_03_05-B-1614916140,trace-2021_03_05-1614916140,36
1614916140010,Tomcat01,2021_03_05-B-1614916140,2021_03_05-C-1614916140,trace-2021_03_05-1614916140,57
1614916200000,apache01,,2021_03_05-A-1614916200,trace-2021_03_05-1614916200,27
1614916200005,Tomcat02,2021_03_05-A-1614916200,2021_03_05-B-1614916200,trace-2021_03_05-1614916200,36
1614916200010,Tomcat01,2021_03_05-B-1614916200,2021_03_05-C-1614916200,trace-2021_03_05-1614916200,50
1614916260000,apache01,,2021_03_05-A-1614916260,trace-2021_03_05-1614916260,27
1614916260005,Tomcat02,2021_03_05-A-1614916260,2021_03_05-B-1614916260,trace-2021_03_05-1614916260,34
1614916260010,Tomcat01,2021_03_05-B-1614916260,2021_03_05-C-1614916260,trace-2021_03_05-1614916260,59
1614916320000,apache01,,2021_03_05-A-1614916320,trace-2021_03_05-1614916320,24
1614916320005,Tomcat02,2021_03_05-A-1614916320,2021_03_05-B-1614916320,trace-2021_03_05-1614916320,37
1614916320010,Tomcat01,2021_03_05-B-1614916320,2021_03_05-C-1614916320,trace-2021_03_05-1614916320,59
1614916380000,apache01,,2021_03_05-A-1614916380,trace-2021_03_05-1614916380,25
1614916380005,Tomcat02,2021_03_05-A-1614916380,2021_03_05-B-1614916380,trace-2021_03_05-1614916380,37
1614916380010,Tomcat01,2021_03_05-B-1614916380,2021_03_05-C-1614916380,trace-2021_03_05-1614916380,59
1614916440000,apache01,,2021_03_05-A-1614916440,trace-2021_03_05-1614916440,20
1614916440005,Tomcat02,2021_03_05-A-1614916440,2021_03_05-B-1614916440,trace-2021_03_05-1614916440,33
1614916440010,Tomcat01,2021_03_05-B-1614916440,2021_03_05-C-1614916440,trace-2021_03_05-1614916440,54
1614916500000,apache01,,2021_03_05-A-1614916500,trace-2021_03_05-1614916500,23
1614916500005,Tomcat02,2021_03_05-A-1614916500,2021_03_05-B-1614916500,trace-2021_03_05-1614916500,30
1614916500010,Tomcat01,2021_03_05-B-1614916500,2021_03_05-C-1614916500,trace-2021_03_05-1614916500,60
1614916560000,apache01,,2021_03_05-A-1614916560,trace-2021_03_05-1614916560,24
1614916560005,Tomcat02,2021_03_05-A-1614916560,2021_03_05-B-1614916560,trace-2021_03_05-1614916560,31
1614916560010,Tomcat01,2021_03_05-B-1614916560,2021_03_05-C-1614916560,trace-2021_03_05-1614916560,50
1614916620000,apache01,,2021_03_05-A-1614916620,trace-2021_03_05-1614916620,22
1614916620005,Tomcat02,2021_03_05-A-1614916620,2021_03_05-B-1614916620,trace-2021_03_05-1614916620,30
1614916620010,Tomcat01,2021_03_05-B-1614916620,2021_03_05-C-1614916620,trace-2021_03_05-1614916620,47
1614916680000,apache01,,2021_03_05-A-1614916680,trace-2021_03_05-1614916680,20
1614916680005,Tomcat02,2021_03_05-A-1614916680,2021_03_05-B-1614916680,trace-2021_03_05-1614916680,33
1614916680010,Tomcat01,2021_03_05-B-1614916680,2021_03_05-C-1614916680,trace-2021_03_05-1614916680,52
1614916740000,apache01,,2021_03_05-A-1614916740,trace-2021_03_05-1614916740,25
1614916740005,Tomcat02,2021_03_05-A-1614916740,2021_03_05-B-1614916740,trace-2021_03_05-1614916740,30
1614916740010,Tomcat01,2021_03_05-B-1614916740,2021_03_05-C-1614916740,trace-2021_03_05-1614916740,58
1614916800000,apache01,,2021_03_05-A-1614916800,trace-2021_03_05-1614916800,25
1614916800005,Tomcat02,2021_03_05-A-1614916800,2021_03_05-B-1614916800,trace-2021_03_05-1614916800,36
1614916800010,Tomcat01,2021_03_05-B-1614916800,2021_03_05-C-1614916800,trace-2021_03_05-1614916800,52
1614916860000,apache01,,2021_03_05-A-1614916860,trace-2021_03_05-1614916860,20
1614916860005,Tomcat02,2021_03_05-A-1614916860,2021_03_05-B-1614916860,trace-2021_03_05-1614916860,31
1614916860010,Tomcat01,2021_03_05-B-1614916860,2021_03_05-C-1614916860,trace-2021_03_05-1614916860,49
1614916920000,apache01,,2021_03_05-A-1614916920,trace-2021_03_05-1614916920,23
1614916920005,Tomcat02,2021_03_05-A-1614916920,2021_03_05-B-1614916920,trace-2021_03_05-1614916920,32
1614916920010,Tomcat01,2021_03_05-B-1614916920,2021_03_05-C-1614916920,trace-2021_03_05-1614916920,48
1614916980000,apache01,,2021_03_05-A-1614916980,trace-2021_03_05-1614916980,26
1614916980005,Tomcat02,2021_03_05-A-1614916980,2021_03_05-B-1614916980,trace-2021_03_05-1614916980,30
1614916980010,Tomcat01,2021_03_05-B-1614916980,2021_03_05-C-1614916980,trace-2021_03_05-1614916980,57
1614917040000,apache01,,2021_03_05-A-1614917040,trace-2021_03_05-1614917040,22
1614917040005,Tomcat02,2021_03_05-A-1614917040,2021_03_05-B-1614917040,trace-2021_03_05-1614917040,39
1614917040010,Tomcat01,2021_03_05-B-1614917040,2021_03_05-C-1614917040,trace-2021_03_05-1614917040,59
1614917100000,apache01,,2021_03_05-A-1614917100,trace-2021_03_05-1614917100,22
1614917100005,Tomcat02,2021_03_05-A-1614917100,2021_03_05-B-1614917100,trace-2021_03_05-1614917100,35
1614917100010,Tomcat01,2021_03_05-B-1614917100,2021_03_05-C-1614917100,trace-2021_03_05-1614917100,51
1614917160000,apache01,,2021_03_05-A-1614917160,trace-2021_03_05-1614917160,23
1614917160005,Tomcat02,2021_03_05-A-1614917160,2021_03_05-B-1614917160,trace-2021_03_05-1614917160,33
1614917160010,Tomcat01,2021_03_05-B-1614917160,2021_03_05-C-1614917160,trace-2021_03_05-1614917160,45
1614917220000,apache01,,2021_03_05-A-1614917220,trace-2021_03_05-1614917220,27
1614917220005,Tomcat02,2021_03_05-A-1614917220,2021_03_05-B-1614917220,trace-2021_03_05-1614917220,38
1614917220010,Tomcat01,2021_03_05-B-1614917220,2021_03_05-C-1614917220,trace-2021_03_05-1614917220,58
1614917280000,apache01,,2021_03_05-A-1614917280,trace-2021_03_05-1614917280,20
1614917280005,Tomcat02,2021_03_05-A-1614917280,2021_03_05-B-1614917280,trace-2021_03_05-1614917280,30
1614917280010,Tomcat01,2021_03_05-B-1614917280,2021_03_05-C-1614917280,trace-2021_03_05-1614917280,53
1614917340000,apache01,,2021_03_05-A-1614917340,trace-2021_03_05-1614917340,27
1614917340005,Tomcat02,2021_03_05-A-1614917340,2021_03_05-B-1614917340,trace-2021_03_05-1614917340,32
1614917340010,Tomcat01,2021_03_05-B-1614917340,2021_03_05-C-1614917340,trace-2021_03_05-1614917340,45
1614917400000,apache01,,2021_03_05-A-1614917400,trace-2021_03_05-1614917400,21
1614917400005,Tomcat02,2021_03_05-A-1614917400,2021_03_05-B-1614917400,trace-2021_03_05-1614917400,33
1614917400010,Tomcat01,2021_03_05-B-1614917400,2021_03_05-C-1614917400,trace-2021_03_05-1614917400,48
1614917460000,apache01,,2021_03_05-A-1614917460,trace-2021_03_05-1614917460,22
1614917460005,Tomcat02,2021_03_05-A-1614917460,2021_03_05-B-1614917460,trace-2021_03_05-1614917460,39
1614917460010,Tomcat01,2021_03_05-B-1614917460,2021_03_05-C-1614917460,trace-2021_03_05-1614917460,46
1614917520000,apache01,,2021_03_05-A-1614917520,trace-2021_03_05-1614917520,25
1614917520005,Tomcat02,2021_03_05-A-1614917520,2021_03_05-B-1614917520,trace-2021_03_05-1614917520,38
1614917520010,Tomcat01,2021_03_05-B-1614917520,2021_03_05-C-1614917520,trace-2021_03_05-1614917520,50
1614917580000,apache01,,2021_03_05-A-1614917580,trace-2021_03_05-1614917580,21
1614917580005,Tomcat02,2021_03_05-A-1614917580,2021_03_05-B-1614917580,trace-2021_03_05-1614917580,38
1614917580010,Tomcat01,2021_03_05-B-1614917580,2021_03_05-C-1614917580,trace-2021_03_05-1614917580,56
1614917640000,apache01,,2021_03_05-A-1614917640,trace-2021_03_05-1614917640,25
1614917640005,Tomcat02,2021_03_05-A-1614917640,2021_03_05-B-1614917640,trace-2021_03_05-1614917640,34
1614917640010,Tomcat01,2021_03_05-B-1614917640,2021_03_05-C-1614917640,trace-2021_03_05-1614917640,48
1614917700000,apache01,,2021_03_05-A-1614917700,trace-2021_03_05-1614917700,21
1614917700005,Tomcat02,2021_03_05-A-1614917700,2021_03_05-B-1614917700,trace-2021_03_05-1614917700,38
