timestamp,cmdb_id,kpi_name,value
1615109700,Tomcat01,OSLinux-CPU_CPU_CPUCpuUtil,20.3006
1615109700,Tomcat01,OSLinux-MEM_MEM_MemUsedPercent,50.6374
1615109700,Tomcat01,OSLinux-NET_NET_NicLatency,9.8622
1615109700,Tomcat02,OSLinux-CPU_CPU_CPUCpuUtil,20.3747
1615109700,Tomcat02,OSLinux-MEM_MEM_MemUsedPercent,45.006
1615109700,Tomcat02,OSLinux-NET_NET_NicLatency,10.204
1615109700,MG01,OSLinux-CPU_CPU_CPUCpuUtil,23.9563
1615109700,MG01,OSLinux-MEM_MEM_MemUsedPercent,45.5855
1615109700,MG01,OSLinux-NET_NET_NicLatency,9.5986
1615109700,MG02,OSLinux-CPU_CPU_CPUCpuUtil,23.6389
1615109700,MG02,OSLinux-MEM_MEM_MemUsedPercent,48.8024
1615109700,MG02,OSLinux-NET_NET_NicLatency,9.9951
1615109700,Mysql01,OSLinux-CPU_CPU_CPUCpuUtil,24.9088
1615109700,Mysql01,OSLinux-MEM_MEM_MemUsedPercent,46.9667
1615109700,Mysql01,OSLinux-NET_NET_NicLatency,10.0035
1615109700,Redis01,OSLinux-CPU_CPU_CPUCpuUtil,24.5258
1615109700,Redis01,OSLinux-MEM_MEM_MemUsedPercent,46.8812
1615109700,Redis01,OSLinux-NET_NET_NicLatency,9.101
1615109760,Tomcat01,OSLinux-CPU_CPU_CPUCpuUtil,24.1573
1615109760,Tomcat01,OSLinux-MEM_MEM_MemUsedPercent,50.3352
1615109760,Tomcat01,OSLinux-NET_NET_NicLatency,6.4537
1615109760,Tomcat02,OSLinux-CPU_CPU_CPUCpuUtil,23.1834
1615109760,Tomcat02,OSLinux-MEM_MEM_MemUsedPercent,49.0392
1615109760,Tomcat02,OSLinux-NET_NET_NicLatency,5.7311
1615109760,MG01,OSLinux-CPU_CPU_CPUCpuUtil,23.6704
1615109760,MG01,OSLinux-MEM_MEM_MemUsedPercent,49.598
1615109760,MG01,OSLinux-NET_NET_NicLatency,6.838
1615109760,MG02,OSLinux-CPU_CPU_CPUCpuUtil,19.589
1615109760,MG02,OSLinux-MEM_MEM_MemUsedPercent,46.691
1615109760,MG02,OSLinux-NET_NET_NicLatency,9.6297
1615109760,Mysql01,OSLinux-CPU_CPU_CPUCpuUtil,21.8002
1615109760,Mysql01,OSLinux-MEM_MEM_MemUsedPercent,49.892
1615109760,Mysql01,OSLinux-NET_NET_NicLatency,5.9576
1615109760,Redis01,OSLinux-CPU_CPU_CPUCpuUtil,19.6391
1615109760,Redis01,OSLinux-MEM_MEM_MemUsedPercent,47.094
1615109760,Redis01,OSLinux-NET_NET_NicLatency,10.2792
1615109820,Tomcat01,OSLinux-CPU_CPU_CPUCpuUtil,22.9816
1615109820,Tomcat01,OSLinux-MEM_MEM_MemUsedPercent,50.2415
1615109820,Tomcat01,OSLinux-NET_NET_NicLatency,7.4552
1615109820,Tomcat02,OSLinux-CPU_CPU_CPUCpuUtil,21.6975
1615109820,Tomcat02,OSLinux-MEM_MEM_MemUsedPercent,45.1865
1615109820,Tomcat02,OSLinux-NET_NET_NicLatency,7.0439
1615109820,MG01,OSLinux-CPU_CPU_CPUCpuUtil,20.4523
1615109820,MG01,OSLinux-MEM_MEM_MemUsedPercent,49.7321
1615109820,MG01,OSLinux-NET_NET_NicLatency,9.2854
