timestamp,rr,sr,cnt,mrt,tc
1614915720,99.3,97.3,18,51.45,ServiceTest1
1614915780,98.47,97.62,19,53.61,ServiceTest1
1614915840,101.92,97.24,17,65.14,ServiceTest1
1614915900,99.14,97.77,19,50.45,ServiceTest1
1614915960,98.7,97.46,16,59.7,ServiceTest1
1614916020,98.27,97.42,15,56.8,ServiceTest1
1614916080,101.32,97.32,15,69.02,ServiceTest1
1614916140,100.96,97.45,18,57.11,ServiceTest1
1614916200,98.34,98.32,20,65.65,ServiceTest1
1614916260,100.19,97.26,15,69.42,ServiceTest1
1614916320,100.01,98.06,18,50.37,ServiceTest1
1614916380,99.77,98.23,18,60.24,ServiceTest1
1614916440,98.62,98.43,18,52.86,ServiceTest1
1614916500,100.05,97.13,20,65.77,ServiceTest1
1614916560,100.54,98.6,15,67.12,ServiceTest1
1614916620,98.07,97.5,15,64.66,ServiceTest1
1614916680,98.28,98.48,16,53.26,ServiceTest1
1614916740,100.01,97.4,18,50.1,ServiceTest1
1614916800,101.57,98.25,19,66.24,ServiceTest1
1614916860,98.01,98.6,19,60.06,ServiceTest1
1614916920,100.97,97.61,18,50.25,ServiceTest1
1614916980,101.78,97.42,18,52.83,ServiceTest1
1614917040,101.36,97.24,20,64.26,ServiceTest1
1614917100,101.25,98.26,20,68.81,ServiceTest1
1614917160,98.67,97.32,16,68.12,ServiceTest1
1614917220,99.11,98.94,15,60.07,ServiceTest1
1614917280,101.89,97.5,15,53.09,ServiceTest1
1614917340,100.33,97.78,16,62.02,ServiceTest1
1614917400,99.35,97.84,19,53.96,ServiceTest1
1614917460,101.9,97.28,15,51.2,ServiceTest1
1614917520,101.86,97.41,17,66.43,ServiceTest1
1614917580,99.09,98.92,18,55.24,ServiceTest1
1614917640,101.29,98.55,18,56.56,ServiceTest1
1614917700,99.67,98.24,19,64.96,ServiceTest1
1614917760,101.96,97.2,17,66.38,ServiceTest1
1614917820,98.82,97.51,18,63.03,ServiceTest1
